Episode,Steps,TotalReward,ActorLoss,CriticLoss,MeanValue,ValueStd,MeanReturn,ClipFraction
16,84,-114.30,-0.0014,0.1624,-0.09,0.00,-9.25,0.0000
32,91,-104.83,0.0017,0.1428,-10.81,0.15,-45.31,0.0000
48,80,-201.92,0.0076,0.1865,-17.88,0.51,-59.69,0.0000
64,97,-285.68,0.0140,0.1763,-46.75,1.62,-78.18,0.0000
80,151,-214.44,0.0125,0.1795,-73.50,2.08,-83.10,0.0000
96,151,-219.63,-0.0020,0.1392,-61.50,1.18,-73.19,0.0000
112,77,-187.73,0.0148,0.1698,-80.50,1.49,-56.74,0.0000
128,132,-142.36,0.0005,0.1302,-79.50,2.31,-77.33,0.0000
144,96,-99.33,-0.0050,0.1100,-82.50,8.00,-77.21,0.0000
160,136,-131.36,0.0070,0.1007,-78.00,9.31,-56.04,0.0000
176,115,-192.49,-0.0037,0.1141,-71.00,17.50,-100.37,0.0000
192,93,-246.19,0.0029,0.0951,-38.50,26.25,-80.80,0.0000
208,102,-177.40,0.0003,0.1062,-87.00,7.31,-61.19,0.0000
224,109,-289.61,0.0063,0.1177,-60.75,41.50,-94.24,0.0000
240,159,-104.45,0.0044,0.1137,-94.50,31.62,-98.81,0.0000
256,99,-129.46,0.0031,0.1063,-92.50,27.75,-110.74,0.0000
272,115,-92.90,0.0057,0.0903,-101.50,20.38,-88.81,0.0000
288,85,-220.94,-0.0007,0.1021,-74.00,32.50,-96.72,0.0000
304,66,-280.92,-0.0058,0.0956,-110.50,40.50,-124.29,0.0000
320,55,-264.90,0.0064,0.1165,-88.50,23.12,-80.53,0.0000
336,84,-189.51,-0.0029,0.1031,-112.50,31.50,-110.82,0.0000
352,87,-237.95,-0.0051,0.0940,-71.50,53.25,-93.11,0.0000
368,66,-101.46,-0.0006,0.1009,-56.50,20.75,-53.84,0.0000
384,77,-116.99,-0.0085,0.1015,-71.00,30.88,-52.39,0.0000
400,93,-112.51,-0.0080,0.0993,-79.00,33.00,-102.48,0.0000
416,119,-151.23,-0.0034,0.1079,-79.50,26.00,-74.63,0.0000
432,76,-56.36,-0.0100,0.0869,-63.50,15.25,-61.20,0.0000
448,121,-55.54,-0.0053,0.0868,-50.75,27.88,-29.22,0.0000
464,113,-96.29,-0.0074,0.0900,-33.75,12.88,-43.19,0.0000
480,98,-180.45,-0.0118,0.0912,-24.62,18.25,-55.30,0.0000
496,97,-130.24,-0.0171,0.0919,-65.50,16.38,-87.46,0.0000
512,69,-122.28,0.0008,0.0888,-58.00,16.38,-30.18,0.0000
528,79,-101.48,0.0016,0.0952,-73.50,24.12,-41.52,0.0000
544,95,-124.07,-0.0085,0.0862,-35.25,19.88,-33.76,0.0000
560,82,-119.48,-0.0102,0.0940,-32.75,10.12,-18.27,0.0000
576,105,-92.44,-0.0169,0.0851,-31.75,16.38,-17.86,0.0000
592,116,-74.79,-0.0056,0.0717,-68.50,19.50,-62.00,0.0000
608,88,-96.72,-0.0193,0.0946,-79.50,21.62,-51.75,0.0000
624,94,-86.81,-0.0126,0.0919,-40.25,25.00,-45.56,0.0000
640,118,-72.37,-0.0053,0.0793,-64.00,17.50,-57.92,0.0000
656,104,-92.83,-0.0158,0.0803,-48.00,14.19,-48.26,0.0000
672,66,-116.50,-0.0045,0.0758,-45.75,11.06,-28.30,0.0000
688,108,-96.70,-0.0178,0.0776,-33.25,17.12,-32.28,0.0000
704,86,-119.78,-0.0122,0.0806,-36.75,10.12,-27.89,0.0000
720,126,-168.65,-0.0117,0.0840,-43.25,26.25,-73.04,0.0000
736,58,-143.16,-0.0133,0.0914,-28.38,14.50,-17.60,0.0000
752,134,-113.73,-0.0142,0.0963,-91.00,29.38,-96.39,0.0000
768,98,-157.59,-0.0246,0.0882,-64.50,27.00,-83.04,0.0000
784,86,-57.99,-0.0132,0.0723,-91.50,14.88,-95.27,0.0000
800,89,-115.36,-0.0023,0.0957,-88.00,31.88,-108.60,0.0000
816,72,-100.62,0.0132,0.0824,-36.25,17.25,-42.71,0.0000
832,99,-119.69,-0.0160,0.0816,-62.75,28.25,-36.54,0.0000
848,72,-48.40,-0.0315,0.0789,-42.50,21.50,-25.38,0.0000
864,96,-39.76,-0.0128,0.0827,-20.88,22.38,-44.28,0.0000
880,70,-59.69,-0.0264,0.0843,-11.38,11.88,-2.75,0.0000
896,63,-55.01,-0.0287,0.0658,2.64,9.44,1.82,0.0000
912,77,-25.98,-0.0255,0.0667,-7.28,16.88,0.69,0.0000
928,66,-65.77,-0.0151,0.0606,-0.64,10.88,0.23,0.0000
944,74,-56.65,-0.0101,0.0669,2.44,8.81,6.78,0.0000
960,125,-59.89,-0.0157,0.0745,-24.75,23.88,-24.91,0.0000
976,89,-55.84,-0.0245,0.0670,-29.75,18.25,-19.41,0.0000
992,116,-36.36,-0.0146,0.0787,-3.33,16.50,3.16,0.0000
1008,101,-15.88,-0.0237,0.0667,8.81,9.06,11.56,0.0000
1024,87,-50.27,-0.0181,0.0764,6.94,9.06,-31.88,0.0000
1040,63,-41.28,-0.0249,0.0693,5.56,7.69,13.37,0.0000
1056,90,-44.92,-0.0294,0.0723,-22.25,12.69,-50.15,0.0000
1072,110,-92.29,-0.0247,0.0771,-11.75,11.31,-34.04,0.0000
1088,121,-30.55,-0.0192,0.0758,-30.75,11.62,-41.62,0.0000
1104,99,-79.36,-0.0187,0.0911,10.12,10.38,9.80,0.0000
1120,105,-35.13,-0.0170,0.0879,5.72,11.88,-11.09,0.0000
1136,102,-63.86,-0.0131,0.0951,-4.16,17.75,-17.59,0.0000
1152,102,-59.11,-0.0189,0.0745,-30.25,12.12,-18.08,0.0000
1168,88,-15.23,-0.0198,0.0661,3.16,6.81,8.45,0.0000
1184,110,-35.38,-0.0139,0.0600,-26.12,17.75,-18.87,0.0000
1200,81,-47.10,-0.0232,0.0694,3.09,15.00,10.85,0.0000
1216,86,-71.64,-0.0182,0.0821,14.31,15.94,27.76,0.0000
1232,68,-49.82,-0.0204,0.0799,-35.50,14.00,-29.24,0.0000
1248,89,-46.36,-0.0116,0.0805,-34.75,8.81,-29.96,0.0000
1264,107,-12.70,-0.0317,0.0733,-20.88,21.75,-39.47,0.0000
1280,92,-31.19,-0.0257,0.0781,3.66,22.75,-2.36,0.0000
1296,66,-47.52,-0.0252,0.0815,11.81,11.19,16.94,0.0000
1312,96,-106.39,-0.0281,0.0993,-8.94,11.88,-54.82,0.0000
1328,97,-20.99,-0.0192,0.0731,2.77,22.62,6.64,0.0000
1344,67,-21.78,-0.0164,0.0725,5.16,9.81,2.48,0.0000
1360,74,-32.58,-0.0194,0.0646,-17.12,13.50,-17.34,0.0000
1376,86,-77.01,-0.0211,0.0799,-9.19,13.44,-9.73,0.0000
1392,67,-45.22,-0.0240,0.0737,16.12,16.12,20.94,0.0000
